location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
Africa,OWID_AFR,5/1/2022,27,2,0,0,0.29,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/2/2022,27,2,0,0,0.29,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/3/2022,27,2,0,0,0.29,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/4/2022,27,2,0,0,0.29,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/5/2022,27,2,0,0,0.29,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/6/2022,27,2,0,0,0,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/7/2022,27,2,0,0,0,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/8/2022,27,2,0,0,0,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/9/2022,27,2,0,0,0,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/10/2022,27,2,0,0,0,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/11/2022,27,2,0,0,0,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/12/2022,27,2,0,0,0,0,0,0.019,0,0,0.0014,0
Africa,OWID_AFR,5/13/2022,31,2,4,0,0.57,0,0.003,0.022,0,0,0.0014,0
Africa,OWID_AFR,5/14/2022,31,2,0,0,0.57,0,0,0.022,0,0,0.0014,0
Africa,OWID_AFR,5/15/2022,31,2,0,0,0.57,0,0,0.022,0,0,0.0014,0
Africa,OWID_AFR,5/16/2022,31,2,0,0,0.57,0,0,0.022,0,0,0.0014,0
Africa,OWID_AFR,5/17/2022,31,2,0,0,0.57,0,0,0.022,0,0,0.0014,0
Africa,OWID_AFR,5/18/2022,31,2,0,0,0.57,0,0,0.022,0,0,0.0014,0
Africa,OWID_AFR,5/19/2022,31,2,0,0,0.57,0,0,0.022,0,0,0.0014,0
Africa,OWID_AFR,5/20/2022,43,2,12,0,1.71,0,0.008,0.03,0.001,0,0.0014,0
Africa,OWID_AFR,5/21/2022,43,2,0,0,1.71,0,0,0.03,0.001,0,0.0014,0
Africa,OWID_AFR,5/22/2022,43,2,0,0,1.71,0,0,0.03,0.001,0,0.0014,0
Africa,OWID_AFR,5/23/2022,43,2,0,0,1.71,0,0,0.03,0.001,0,0.0014,0
Africa,OWID_AFR,5/24/2022,43,2,0,0,1.71,0,0,0.03,0.001,0,0.0014,0
Africa,OWID_AFR,5/25/2022,43,2,0,0,1.71,0,0,0.03,0.001,0,0.0014,0
Africa,OWID_AFR,5/26/2022,43,2,0,0,1.71,0,0,0.03,0.001,0,0.0014,0
